LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE,CREATED_AT,UPDATED_AT
-9999,Lab_indet.,ND,ND,FALSE,NA,,NA,2021-11-19 12:11:05.011 +0100,
1,A,Univ. of Arizona,USA,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
2,AA,NSF-Ariz. AMS Facility,USA,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
3,AAR,Univ. of Aarhus,DNK,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,2022-01-17 10:36:15.769 +0100
4,AC,Ingeis,ARG,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
5,AECV,Alberta Environmental Center of Vegreville,CAN,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
6,AERIK,Atomic Energy Res. Inst.,KOR,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
7,ALG,Algiers,DZA,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
8,ANAS,Applied Nuclear-Atomic Science (ANAS) Lab.,KOR,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
9,ANL,Argonne Nat. Lab.,USA,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
10,ANSTO,Australian Nuclear Science & Technology,AUS,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
11,ANTW,Antwerp,BEL,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
12,ANU,Australian National Univ.,AUS,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
13,ANUA,ANU Accelerator,AUS,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
14,AU,Univ. of Alaska,USA,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
15,AURIS,Ahmedabad,IND,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
16,B,Bern,CHE,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
17,Ba,Bratislava,SVK,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
18,BC,Brooklyn College,USA,FALSE,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
19,BE,Univ. of Bern,CHE,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
20,Beta,Beta Analytic,USA,,C14,,Radiocarbon,2021-11-19 12:11:05.011 +0100,
